#PPI	ID_b	Sym_b	LocID_b	ID_p	Sym_p	LocID_p	Y2H	Exp	Hs	Dm	Ce	Sc	GO	Qcount
2993	1230	PAK4	10298	1220	p66alpha	54815	SD4							0
2994	1231	PANK4	55229	1260	PEA15	8682	SD4							0
2995	1241	PCDH16	8642	958	LOC222019	222019	SD4							0
2995	1241	PCDH16	8642	959	LOC222019	222019	SD4							0
2996	1243	PCMT1	5110	72	APOA1	335	SD4							0
2997	1246	PCTK1	5127	145	BAT3	7917	SD4							0
2998	1249	PDCD6IP	10015	1447	RAMP3	10268	SD4							0
2999	1251	PDCD8	9131	198	C4orf14	84273	SD4							0
3000	1252	PDCD8	9131	906	KIBRA	23286	SD4							0
3001	1256	PDK2	5164	627	FLJ23469	79763	SD4							0
3002	1256	PDK2	5164	741	HD	3064	SD4							0
3003	1256	PDK2	5164	748	HIC2	23119	SD4							0
3004	1259	PDPK1	5170	254	CDAN1	146059	SD4							0
3005	1268	PFDN1	5201	189	C20orf39	79953	SD4							0
3006	1268	PFDN1	5201	382	DEFA1	1667	SD4							0
3007	1274	PGD	5226	671	GBE1	2632	SD4							0
3008	1275	PGS1	9489	662	GABARAP	11337	SD4							0
3009	1275	PGS1	9489	1257	PDLIM1	9124	SD4							0
3010	1277	PHC2	1912	606	FLJ20533	54968	SD4							0
3011	1277	PHC2	1912	1277	PHC2	1912	SD4							0
3012	1283	PHYHIP	9796	771	HNRPA1	3178	SD4							0
3013	1283	PHYHIP	9796	1174	NFE2	4778	SD4							0
3014	1283	PHYHIP	9796	1284	PHYHIP	9796	SD4							0
3015	1286	PIGT	51604	1856	UPF3A	65110	SD4							0
3016	1295	PIP5K1A	8394	222	CADPS	8618	SD4							0
3017	1299	PJA1	64219	774	HNRPL	3191	SD4							0
3018	1299	PJA1	64219	1918	ZNF440	126070	SD4							0
3019	1303	PKP4	8502	662	GABARAP	11337	SD4							0
3020	1303	PKP4	8502	1272	PGAM1	5223	SD4							0
3021	1304	PLA2G10	8399	1137	MYO10	4651	SD4							0
3022	1305	PLA2G2A	5320	341	CRMP1	1400	SD4							0
3023	1306	PLAUR	5329	1708	SURF2	6835	SD4							0
3024	1311	PLEKHM2	23207	1629	SLC39A1	27173	SD4							0
3025	1318	PMAIP1	5366	1340	PPBP	5473	SD4							0
3026	1322	PNMA1	9240	932	LENG1	79165	SD4							0
3027	1322	PNMA1	9240	1122	MSI1	4440	SD4							0
3028	1322	PNMA1	9240	1775	TNNT1	7138	SD4							0
3029	1324	PNRC2	55629	1907	ZNF145	7704	SD4							0
3030	1332	POLR2E	5434	291	CHGB	1114	SD4							0
3031	1334	POR	5447	658	G22P1	2547	SD4							0
3032	1335	POU3F3	5455	1351	PPP1R15A	23645	SD4							0
3033	1337	PP	5464	563	FLJ10055	55062	SD4							0
3034	1352	PPP1R16A	84988	759	HLA-E		SD4							0
3035	1352	PPP1R16A	84988	1003	LY6H	4062	SD4							0
3036	1352	PPP1R16A	84988	1079	MGC45871	359845	SD4							0
3037	1353	PPP1R1B	84152	1491	ROBO2	6092	SD4							0
3038	1360	PQBP1	10084	310	CLTB	1212	SD4							0
3039	1360	PQBP1	10084	1438	RAB8A	4218	SD4							0
3040	1363	PREI3	25843	485	EGLN2	112398	SD4							0
3041	1363	PREI3	25843	503	ELK1	2002	SD4							0
3042	1363	PREI3	25843	542	FBLN1		SD4							0
3043	1363	PREI3	25843	1143	MYO9B	4650	SD4	Memb:neg						0
3044	1363	PREI3	25843	1689	STK11	6794	SD4							0
3045	1363	PREI3	25843	1751	THAP4	51078	SD4							0
3046	990	LPPR4	9890	498	EIF4A1	1973	SD4							0
3047	1382	PSD	5662	684	GLRA2	2742	SD4							0
3048	1382	PSD	5662	688	GMFG	9535	SD4							0
3049	1382	PSD	5662	697	GNB5	10681	SD4							0
3050	1382	PSD	5662	1436	RAB40C	57799	SD4							0
3051	1395	psmd14-prov	380423	570	FLJ10324	55698	SD4	Bdg:pos						0
3052	1395	psmd14-prov	380423	816	HUMAGCGB	29890	SD4	Bdg:pos						0
3053	1410	PTOV1	53635	815	HUCEP11	9911	SD4							0
3054	1413	PTPN6	5777	626	FLJ23375	80021	SD4							0
3055	1428	Rab11b	79434	1213	OLFM2	93145	SD4							0
3056	1430	RAB18	22931	1784	TOM1L1	10040	SD4							0
3057	1431	RAB1A	5861	1035	MAPRE3	22924	SD4							0
3058	1431	RAB1A	5861	1397	PSMD7	5713	SD4							0
3059	1431	RAB1A	5861	1714	SYT5	6861	SD4							0
3060	1431	RAB1A	5861	1922	ZNF593	51042	SD4							0
3061	1435	RAB35	11021	615	FLJ21945	80304	SD4							0
